order_detail_id,order_id,book_id,quantity,price,total_amount,customer_id,author_id,order_date,categories
42,16,1438,4,11.63,46.52,892,769,12/22/2023,Mystery
43,17,1311,1,11.63,11.63,1584,339,10/22/2023,Science Fiction
44,17,745,1,13.88,13.88,1584,674,10/22/2023,Fiction
45,18,214,3,18.44,55.32,930,538,1/6/2024,Mystery
46,19,1169,4,34.34,137.36,1695,104,6/6/2024,Science Fiction
47,19,1148,5,15.28,76.4,1695,745,6/6/2024,Non-Fiction
48,20,1765,2,8.22,16.44,1380,554,3/14/2024,Fantasy
49,21,2013,3,11.13,33.39,1013,166,10/8/2023,Non-Fiction
50,21,1370,3,10.09,30.27,1013,516,10/8/2023,Fiction
51,21,457,1,35.75,35.75,1013,421,10/8/2023,Science Fiction
52,22,534,3,16.41,49.23,243,206,6/16/2023,Non-Fiction
53,23,1481,5,19.6,98,460,671,11/13/2023,Fantasy
54,23,2167,5,17.05,85.25,460,425,11/13/2023,Fantasy
55,23,1523,2,38.03,76.06,460,163,11/13/2023,Romance
56,24,861,5,6.1,30.5,1462,336,12/19/2022,Mystery
57,24,1574,1,39.61,39.61,1462,381,12/19/2022,Fantasy
58,24,436,2,23.98,47.96,1462,290,12/19/2022,Fantasy
59,25,493,1,11.86,11.86,417,775,4/28/2024,Science Fiction
60,25,781,2,33.84,67.68,417,753,4/28/2024,Romance
61,25,1826,1,26.45,26.45,417,798,4/28/2024,Science Fiction
62,25,307,5,40.24,201.2,417,580,4/28/2024,Romance
63,25,1405,3,7.58,22.74,417,174,4/28/2024,Romance
64,26,828,5,33.95,169.75,391,191,8/17/2023,Fantasy
65,26,630,1,44.57,44.57,391,767,8/17/2023,Science Fiction
66,26,524,2,11.17,22.34,391,397,8/17/2023,Mystery
67,26,1713,5,15.19,75.95,391,215,8/17/2023,Romance
68,27,1423,3,24.14,72.42,1766,820,3/19/2024,Science Fiction
69,27,1837,1,41.58,41.58,1766,673,3/19/2024,Science Fiction
70,27,1787,1,24.96,24.96,1766,711,3/19/2024,Mystery
71,28,1717,5,29.11,145.55,1666,325,3/4/2024,Science Fiction
72,28,2064,1,14.52,14.52,1666,79,3/4/2024,Mystery
73,28,684,5,12.16,60.8,1666,795,3/4/2024,Fiction
74,28,1123,2,31.76,63.52,1666,381,3/4/2024,Science Fiction
75,29,187,5,41.02,205.1,1602,825,12/17/2023,Fiction
76,29,250,2,48.63,97.26,1602,651,12/17/2023,Fantasy
77,29,1629,4,49.1,196.4,1602,396,12/17/2023,Non-Fiction
78,30,2104,1,9.61,9.61,546,740,11/20/2022,Fiction
79,30,678,4,7.41,29.64,546,784,11/20/2022,Fiction
80,30,2087,4,35.36,141.44,546,68,11/20/2022,Science Fiction
81,30,1599,4,31.3,125.2,546,457,11/20/2022,Mystery
82,30,1113,2,23.79,47.58,546,266,11/20/2022,Fantasy
83,31,15,2,35.09,70.18,590,72,8/31/2022,Fiction
84,31,893,5,30.34,151.7,590,87,8/31/2022,Non-Fiction
85,32,2101,4,39.49,157.96,1529,418,8/29/2022,Fiction
86,33,2151,3,28.64,85.92,1013,433,7/14/2023,Mystery
87,33,1243,2,42.92,85.84,1013,257,7/14/2023,Non-Fiction
88,33,1214,3,24,72,1013,761,7/14/2023,Romance
89,33,488,2,23.17,46.34,1013,568,7/14/2023,Fiction
90,33,918,1,13.2,13.2,1013,719,7/14/2023,Fiction
91,34,976,3,7.29,21.87,783,405,7/25/2023,Fantasy
92,34,161,2,22.73,45.46,783,784,7/25/2023,Mystery
93,34,1138,2,47.79,95.58,783,749,7/25/2023,Science Fiction
94,34,1108,1,47.89,47.89,783,672,7/25/2023,Romance
95,34,1020,2,45,90,783,655,7/25/2023,Romance
96,35,476,1,25.73,25.73,267,723,5/17/2023,Fantasy
97,35,1424,5,6.42,32.1,267,529,5/17/2023,Mystery
98,35,1512,3,15.55,46.65,267,16,5/17/2023,Fantasy
99,35,341,5,48.59,242.95,267,283,5/17/2023,Non-Fiction
100,35,1082,2,42.11,84.22,267,529,5/17/2023,Science Fiction
101,36,1208,3,32.39,97.17,884,574,9/27/2022,Mystery
102,36,235,1,9.12,9.12,884,720,9/27/2022,Fantasy
103,36,1457,2,10.34,20.68,884,49,9/27/2022,Fantasy
104,36,1146,2,21.8,43.6,884,351,9/27/2022,Fantasy
105,37,65,5,16.93,84.65,1754,820,10/7/2022,Fiction
106,37,436,4,23.98,95.92,1754,290,10/7/2022,Fantasy
107,37,1055,5,31.12,155.6,1754,36,10/7/2022,Mystery
108,38,845,4,40.12,160.48,424,450,8/15/2023,Fiction
109,38,904,3,31.83,95.49,424,75,8/15/2023,Fiction
110,38,1101,2,26.19,52.38,424,386,8/15/2023,Science Fiction
111,38,1620,2,39.01,78.02,424,560,8/15/2023,Mystery
112,38,1828,2,35.19,70.38,424,646,8/15/2023,Romance
113,39,1510,2,11.49,22.98,1229,289,10/31/2023,Science Fiction
114,39,1963,1,47.63,47.63,1229,228,10/31/2023,Mystery
115,39,2032,2,14.55,29.1,1229,525,10/31/2023,Fantasy
116,39,1882,2,12.32,24.64,1229,504,10/31/2023,Fiction
117,40,774,5,27.81,139.05,442,739,9/14/2022,Romance
118,40,2010,2,33.21,66.42,442,467,9/14/2022,Non-Fiction
119,41,87,3,33.32,99.96,1688,10,8/21/2023,Fantasy
120,41,668,2,49.04,98.08,1688,139,8/21/2023,Romance
121,41,1615,5,10.93,54.65,1688,746,8/21/2023,Fiction
122,42,285,2,36.47,72.94,580,347,2/1/2023,Mystery
123,42,296,4,9.46,37.84,580,175,2/1/2023,Non-Fiction
124,43,1864,4,19.77,79.08,1489,707,1/4/2024,Non-Fiction
125,43,411,5,44.29,221.45,1489,81,1/4/2024,Fantasy
126,44,49,5,44.38,221.9,1387,272,10/24/2023,Mystery
127,44,409,4,25.21,100.84,1387,371,10/24/2023,Fiction
128,45,85,1,35.54,35.54,388,406,8/17/2024,Non-Fiction
129,45,56,1,16.06,16.06,388,647,8/17/2024,Fiction
130,45,542,2,31.85,63.7,388,565,8/17/2024,Romance
131,45,343,3,8.22,24.66,388,612,8/17/2024,Fiction
132,46,56,1,16.06,16.06,857,647,11/28/2023,Fiction
133,46,436,5,23.98,119.9,857,290,11/28/2023,Fantasy
134,47,349,2,44.11,88.22,370,113,10/20/2022,Romance
135,47,571,4,15.46,61.84,370,469,10/20/2022,Non-Fiction
136,47,1820,2,16.41,32.82,370,511,10/20/2022,Romance
137,48,1359,4,47.67,190.68,837,678,1/11/2024,Science Fiction
138,48,633,2,45.12,90.24,837,537,1/11/2024,Fantasy
139,48,229,5,8.64,43.2,837,583,1/11/2024,Mystery
140,49,2227,1,32.92,32.92,1623,572,3/10/2024,Romance
141,49,87,1,33.32,33.32,1623,10,3/10/2024,Fantasy
142,49,422,5,12.63,63.15,1623,643,3/10/2024,Science Fiction
143,50,421,5,49.4,247,299,659,10/9/2023,Romance
144,50,1702,2,12.39,24.78,299,358,10/9/2023,Fiction
145,50,5,2,30.68,61.36,299,617,10/9/2023,Fiction
146,51,929,4,8.01,32.04,59,13,2/28/2024,Non-Fiction
147,52,604,3,46.12,138.36,595,178,6/3/2023,Fantasy
148,52,1175,2,45.35,90.7,595,337,6/3/2023,Science Fiction
149,52,1576,1,22.49,22.49,595,559,6/3/2023,Non-Fiction
150,52,2015,2,30.74,61.48,595,189,6/3/2023,Non-Fiction
151,53,920,1,22.35,22.35,537,266,2/24/2023,Non-Fiction
152,54,1464,1,21.61,21.61,483,179,2/13/2023,Science Fiction
153,54,1367,1,36.1,36.1,483,536,2/13/2023,Mystery
154,54,1477,1,10.52,10.52,483,171,2/13/2023,Fantasy
155,55,619,2,15.92,31.84,1266,686,7/23/2023,Mystery
156,56,2173,3,28.97,86.91,924,642,4/2/2024,Fiction
157,56,743,4,17.92,71.68,924,581,4/2/2024,Fantasy
158,56,616,3,17.92,53.76,924,207,4/2/2024,Mystery
159,56,1176,3,10.08,30.24,924,275,4/2/2024,Romance
160,57,1111,4,20.05,80.2,1859,414,2/7/2024,Romance
161,58,1088,1,23.46,23.46,509,476,12/25/2022,Mystery
162,58,9,2,15.46,30.92,509,285,12/25/2022,Non-Fiction
163,58,601,3,38,114,509,483,12/25/2022,Romance
164,59,1600,4,18.74,74.96,758,228,1/22/2023,Fantasy
165,59,1960,1,32.02,32.02,758,501,1/22/2023,Non-Fiction
166,60,1751,3,37.39,112.17,1194,471,3/16/2024,Fantasy
167,61,371,3,10.09,30.27,1402,94,6/13/2024,Fiction
168,61,523,2,14.18,28.36,1402,27,6/13/2024,Romance
169,62,1445,3,30.13,90.39,1326,266,12/30/2023,Non-Fiction
170,62,2025,4,45.6,182.4,1326,750,12/30/2023,Fantasy
171,62,1972,4,7.06,28.24,1326,766,12/30/2023,Mystery
172,62,1366,2,10.77,21.54,1326,395,12/30/2023,Non-Fiction
173,63,1570,4,13.33,53.32,939,438,2/27/2023,Fiction
174,63,2037,5,15.48,77.4,939,575,2/27/2023,Fiction
175,64,2018,5,11.34,56.7,176,547,12/4/2023,Science Fiction
176,64,2197,2,29.46,58.92,176,58,12/4/2023,Fantasy
177,64,1576,1,22.49,22.49,176,559,12/4/2023,Non-Fiction
178,64,1728,5,36.17,180.85,176,7,12/4/2023,Fiction
179,64,899,1,34.07,34.07,176,247,12/4/2023,Fantasy
180,65,1482,1,25.49,25.49,22,756,2/16/2024,Science Fiction
181,65,833,1,34.73,34.73,22,576,2/16/2024,Mystery
182,66,1942,2,10.58,21.16,961,465,12/17/2022,Fiction
183,66,452,1,42.74,42.74,961,520,12/17/2022,Mystery
184,66,1431,3,42.73,128.19,961,235,12/17/2022,Non-Fiction
185,67,1208,4,32.39,129.56,273,574,7/8/2023,Mystery
186,67,591,5,41.05,205.25,273,598,7/8/2023,Science Fiction
187,68,994,2,13.74,27.48,1785,364,7/6/2024,Non-Fiction
188,68,920,1,22.35,22.35,1785,266,7/6/2024,Non-Fiction
189,68,565,1,18.76,18.76,1785,100,7/6/2024,Fiction
190,68,587,4,32.11,128.44,1785,758,7/6/2024,Science Fiction
191,69,1740,3,23.13,69.39,663,585,9/30/2022,Mystery
192,70,435,5,12.97,64.85,1420,536,11/2/2023,Mystery
193,71,1954,5,7.4,37,815,344,3/6/2024,Non-Fiction
194,72,124,2,36.21,72.42,1407,533,3/26/2024,Mystery
195,72,1497,2,41.05,82.1,1407,612,3/26/2024,Non-Fiction
196,73,1004,1,43.24,43.24,435,146,9/15/2023,Fiction
197,74,1706,2,36.78,73.56,1461,677,8/3/2024,Romance
198,75,1925,2,6.27,12.54,786,499,10/4/2022,Fiction
199,75,2161,3,33.47,100.41,786,824,10/4/2022,Non-Fiction
200,76,1686,3,29.04,87.12,1451,372,11/12/2023,Fiction
201,76,1819,1,32.59,32.59,1451,191,11/12/2023,Fantasy
202,76,1175,1,45.35,45.35,1451,337,11/12/2023,Science Fiction
203,76,639,1,28.66,28.66,1451,416,11/12/2023,Fantasy
204,77,711,5,46.22,231.1,867,481,7/18/2024,Science Fiction
205,78,45,4,16.59,66.36,1508,246,2/6/2024,Fiction
206,78,1736,4,29.57,118.28,1508,324,2/6/2024,Mystery
207,79,1057,5,47.76,238.8,1224,151,2/15/2023,Fiction
208,79,2056,3,44.2,132.6,1224,580,2/15/2023,Fantasy
209,79,932,4,16.91,67.64,1224,230,2/15/2023,Science Fiction
210,79,643,3,19.28,57.84,1224,274,2/15/2023,Science Fiction
211,79,377,5,10.55,52.75,1224,320,2/15/2023,Science Fiction
212,80,513,2,49.11,98.22,525,282,10/27/2022,Romance
213,80,1641,5,44.39,221.95,525,695,10/27/2022,Mystery
214,80,230,2,33.51,67.02,525,102,10/27/2022,Non-Fiction
215,80,1607,2,16.82,33.64,525,754,10/27/2022,Mystery
216,81,317,4,28.07,112.28,150,375,8/11/2023,Mystery
217,81,1956,3,13.52,40.56,150,470,8/11/2023,Fantasy
218,81,1660,4,26.84,107.36,150,397,8/11/2023,Fantasy
219,81,676,1,16.88,16.88,150,389,8/11/2023,Non-Fiction
220,81,1522,4,48.28,193.12,150,399,8/11/2023,Romance
221,82,1106,1,20.79,20.79,196,494,6/18/2023,Fiction
222,82,428,1,47.98,47.98,196,595,6/18/2023,Mystery
223,83,1375,1,21.41,21.41,1141,809,4/18/2023,Fantasy
224,83,982,3,14.77,44.31,1141,141,4/18/2023,Fantasy
225,83,667,5,23.98,119.9,1141,33,4/18/2023,Science Fiction
226,84,268,2,30.25,60.5,121,250,6/26/2024,Fantasy
227,85,45,3,16.59,49.77,107,246,10/26/2023,Fiction
228,85,769,5,28.92,144.6,107,249,10/26/2023,Mystery
229,85,827,1,31.28,31.28,107,611,10/26/2023,Non-Fiction
230,85,985,3,27.1,81.3,107,731,10/26/2023,Science Fiction
231,85,349,5,44.11,220.55,107,113,10/26/2023,Romance
232,86,184,5,14.72,73.6,682,407,9/10/2023,Romance
233,86,1982,1,7.79,7.79,682,477,9/10/2023,Mystery
234,86,197,3,31.06,93.18,682,250,9/10/2023,Fantasy
235,86,382,3,32.79,98.37,682,571,9/10/2023,Fiction
236,86,35,3,37.7,113.1,682,12,9/10/2023,Romance
237,87,1631,5,9.86,49.3,481,612,11/14/2022,Mystery
238,87,799,3,36.25,108.75,481,572,11/14/2022,Mystery
239,87,1601,3,20.78,62.34,481,152,11/14/2022,Non-Fiction
240,88,399,3,39.61,118.83,965,786,5/8/2024,Non-Fiction
241,88,1669,5,29.58,147.9,965,586,5/8/2024,Mystery
242,89,2057,2,48.86,97.72,1861,703,3/14/2023,Fantasy
243,90,1566,4,16.94,67.76,726,539,11/13/2023,Romance
244,91,154,3,9.4,28.2,1242,282,6/30/2023,Fantasy
245,91,661,2,24.27,48.54,1242,136,6/30/2023,Mystery
246,91,1897,1,34.49,34.49,1242,785,6/30/2023,Science Fiction
247,91,383,2,7.26,14.52,1242,711,6/30/2023,Science Fiction
248,91,884,2,40.02,80.04,1242,141,6/30/2023,Fantasy
249,92,2055,5,21.91,109.55,1374,614,12/20/2023,Romance
250,92,2144,3,7.17,21.51,1374,760,12/20/2023,Mystery
251,93,538,3,29.12,87.36,1644,737,6/24/2023,Fantasy
252,93,1192,3,35.75,107.25,1644,355,6/24/2023,Romance
253,93,1765,1,8.22,8.22,1644,554,6/24/2023,Fantasy
254,93,1588,2,42.32,84.64,1644,178,6/24/2023,Fantasy
255,94,308,2,27.85,55.7,1226,621,6/8/2024,Romance
256,94,2038,1,41.35,41.35,1226,760,6/8/2024,Fantasy
257,95,585,3,12.14,36.42,1454,621,7/14/2023,Mystery
258,96,358,4,43.27,173.08,1533,63,7/8/2023,Fantasy
259,96,386,4,9.05,36.2,1533,674,7/8/2023,Fantasy
260,96,1285,2,12.76,25.52,1533,765,7/8/2023,Romance
261,96,1211,2,48.43,96.86,1533,364,7/8/2023,Romance
262,96,280,3,48.44,145.32,1533,156,7/8/2023,Fantasy
263,97,1489,3,34.14,102.42,1659,446,3/9/2023,Mystery
264,97,366,1,44.07,44.07,1659,565,3/9/2023,Romance
265,97,734,4,9.47,37.88,1659,815,3/9/2023,Fantasy
266,97,1057,4,47.76,191.04,1659,151,3/9/2023,Fiction
267,97,1049,4,9.76,39.04,1659,684,3/9/2023,Fiction
268,98,508,5,18.92,94.6,94,185,9/9/2022,Mystery
269,98,2000,1,21.24,21.24,94,136,9/9/2022,Fantasy
270,99,1175,4,45.35,181.4,11,337,3/26/2024,Science Fiction
271,99,1676,5,24.58,122.9,11,473,3/26/2024,Non-Fiction
272,99,529,4,48.56,194.24,11,90,3/26/2024,Romance
273,100,2100,5,15.42,77.1,520,389,10/29/2022,Fantasy
274,100,1285,3,12.76,38.28,520,765,10/29/2022,Romance
275,100,342,4,15.32,61.28,520,94,10/29/2022,Romance
276,101,1844,3,16.38,49.14,1034,802,2/2/2024,Romance
277,101,175,5,9.01,45.05,1034,230,2/2/2024,Romance
278,101,234,2,18.67,37.34,1034,34,2/2/2024,Non-Fiction
279,101,33,2,8.79,17.58,1034,433,2/2/2024,Mystery
280,101,432,3,49.21,147.63,1034,106,2/2/2024,Science Fiction
281,102,649,5,15.71,78.55,1270,377,9/17/2023,Mystery
282,102,1636,1,19.29,19.29,1270,364,9/17/2023,Romance
283,102,914,4,9.78,39.12,1270,60,9/17/2023,Non-Fiction
284,102,1894,1,19.31,19.31,1270,342,9/17/2023,Romance
285,103,1909,4,7.61,30.44,781,239,2/18/2024,Fiction
286,103,2192,4,11.37,45.48,781,244,2/18/2024,Mystery
287,103,447,1,35.49,35.49,781,96,2/18/2024,Romance
288,104,444,4,19.61,78.44,620,726,4/20/2023,Fiction
289,104,1775,2,16.18,32.36,620,477,4/20/2023,Fantasy
290,105,1347,1,25.35,25.35,809,514,4/29/2023,Non-Fiction
291,105,1300,3,34.5,103.5,809,815,4/29/2023,Romance
292,105,1992,2,35.84,71.68,809,727,4/29/2023,Mystery
293,105,1951,1,26.01,26.01,809,222,4/29/2023,Mystery
294,106,1862,1,16.63,16.63,1375,692,8/11/2023,Romance
295,106,638,4,32.87,131.48,1375,198,8/11/2023,Non-Fiction
296,106,597,2,16.65,33.3,1375,152,8/11/2023,Romance
297,107,129,5,36.67,183.35,760,335,3/25/2024,Fantasy
298,107,1558,1,6.57,6.57,760,736,3/25/2024,Fiction
299,107,1481,4,19.6,78.4,760,671,3/25/2024,Fantasy
300,108,875,1,33.52,33.52,271,54,8/21/2024,Fantasy
301,108,867,1,45.33,45.33,271,497,8/21/2024,Science Fiction
302,108,1733,3,45.41,136.23,271,472,8/21/2024,Mystery
303,108,1033,2,45.14,90.28,271,169,8/21/2024,Mystery
304,109,581,1,39.21,39.21,1828,572,8/17/2023,Science Fiction
305,110,1660,1,26.84,26.84,1146,397,1/15/2023,Fantasy
306,110,1222,4,46.66,186.64,1146,600,1/15/2023,Fantasy
307,110,1720,5,16.23,81.15,1146,185,1/15/2023,Mystery
308,111,1063,2,20.34,40.68,85,407,12/15/2022,Mystery
309,111,221,1,48.47,48.47,85,349,12/15/2022,Non-Fiction
310,112,1401,3,27.74,83.22,1189,180,5/1/2024,Romance
311,112,674,2,49.04,98.08,1189,4,5/1/2024,Fiction
312,112,1431,4,42.73,170.92,1189,235,5/1/2024,Non-Fiction
313,112,1973,4,44.45,177.8,1189,475,5/1/2024,Non-Fiction
314,113,659,4,31.65,126.6,368,211,9/3/2023,Romance
315,113,1453,5,41.44,207.2,368,154,9/3/2023,Fantasy
316,113,1594,1,43.37,43.37,368,766,9/3/2023,Romance
317,113,814,1,44.85,44.85,368,756,9/3/2023,Mystery
318,113,593,3,40.44,121.32,368,272,9/3/2023,Romance
319,114,59,2,31.34,62.68,534,741,6/7/2023,Mystery
320,114,1879,2,49.81,99.62,534,398,6/7/2023,Science Fiction
321,114,2046,3,42.61,127.83,534,205,6/7/2023,Non-Fiction
322,115,1665,3,36.26,108.78,348,632,10/5/2022,Fantasy
323,116,16,4,43.62,174.48,1032,297,4/17/2023,Fiction
324,116,515,4,35.88,143.52,1032,526,4/17/2023,Romance
325,116,400,1,6.33,6.33,1032,336,4/17/2023,Fiction
326,116,896,2,28.41,56.82,1032,531,4/17/2023,Mystery
327,116,1722,5,38.44,192.2,1032,641,4/17/2023,Fiction
328,117,1547,2,40.13,80.26,1010,635,1/31/2023,Science Fiction
329,117,1426,2,9.34,18.68,1010,767,1/31/2023,Science Fiction
330,118,59,3,31.34,94.02,695,741,5/12/2024,Mystery
331,118,1491,1,25.43,25.43,695,825,5/12/2024,Fiction
332,119,1258,5,24.84,124.2,1798,387,6/20/2023,Fiction
333,119,511,4,21.46,85.84,1798,707,6/20/2023,Fantasy
334,119,1868,4,7.49,29.96,1798,258,6/20/2023,Non-Fiction
335,120,1441,3,26.11,78.33,959,795,4/7/2024,Non-Fiction
336,120,2222,4,25.86,103.44,959,421,4/7/2024,Science Fiction
337,120,2143,3,42.82,128.46,959,47,4/7/2024,Non-Fiction
338,120,465,2,27.14,54.28,959,54,4/7/2024,Romance
339,121,1755,3,19.74,59.22,271,675,5/23/2023,Romance
340,121,725,5,26.05,130.25,271,224,5/23/2023,Mystery
341,121,667,5,23.98,119.9,271,33,5/23/2023,Science Fiction
342,121,1786,4,8.9,35.6,271,494,5/23/2023,Fantasy
343,122,1792,3,13.74,41.22,184,100,10/18/2022,Fantasy
344,122,407,1,48.5,48.5,184,415,10/18/2022,Fiction
345,122,426,1,9.37,9.37,184,378,10/18/2022,Science Fiction
346,123,1685,1,37.06,37.06,650,94,2/6/2023,Fiction
347,124,409,4,25.21,100.84,1455,371,8/27/2023,Fiction
348,124,2062,5,46.12,230.6,1455,430,8/27/2023,Romance
349,124,134,3,34.8,104.4,1455,594,8/27/2023,Mystery
350,124,1723,2,49.95,99.9,1455,819,8/27/2023,Mystery
351,125,1863,5,28.87,144.35,1087,603,8/1/2023,Non-Fiction
352,125,1561,1,42.16,42.16,1087,762,8/1/2023,Fantasy
353,126,1924,1,40.21,40.21,887,628,7/19/2023,Fantasy
354,126,1437,4,18.32,73.28,887,188,7/19/2023,Mystery
355,127,1622,1,35.39,35.39,291,712,7/28/2023,Romance
356,127,1535,2,16.23,32.46,291,129,7/28/2023,Fantasy
357,127,2079,3,19.4,58.2,291,177,7/28/2023,Romance
358,127,1097,3,6.38,19.14,291,786,7/28/2023,Romance
359,128,1699,2,16.76,33.52,534,615,6/2/2023,Fiction
360,128,18,4,21.62,86.48,534,167,6/2/2023,Science Fiction
361,128,134,1,34.8,34.8,534,594,6/2/2023,Mystery
362,129,629,3,40.66,121.98,240,38,11/20/2023,Fantasy
363,130,1301,3,12.21,36.63,642,567,2/4/2024,Mystery
364,130,699,5,10.06,50.3,642,461,2/4/2024,Science Fiction
365,130,1762,2,17.92,35.84,642,563,2/4/2024,Science Fiction
366,130,1604,2,11.73,23.46,642,793,2/4/2024,Romance
367,130,1612,1,33.1,33.1,642,174,2/4/2024,Science Fiction
368,131,1758,2,39.99,79.98,91,546,4/6/2024,Science Fiction
369,131,1600,2,18.74,37.48,91,228,4/6/2024,Fantasy
370,131,1652,3,25.48,76.44,91,422,4/6/2024,Science Fiction
371,131,2119,2,26.93,53.86,91,410,4/6/2024,Science Fiction
372,131,1792,2,13.74,27.48,91,100,4/6/2024,Fantasy
373,132,518,5,21.92,109.6,262,661,7/16/2024,Science Fiction
374,133,1606,3,14.62,43.86,1023,668,11/28/2023,Mystery
375,134,652,3,41.28,123.84,1786,776,8/29/2022,Mystery
376,134,835,1,9.63,9.63,1786,501,8/29/2022,Non-Fiction
377,134,383,1,7.26,7.26,1786,711,8/29/2022,Science Fiction
378,134,1792,1,13.74,13.74,1786,100,8/29/2022,Fantasy
379,134,627,1,43.4,43.4,1786,757,8/29/2022,Romance
380,135,2227,1,32.92,32.92,1710,572,5/26/2024,Romance
381,135,1567,1,38.95,38.95,1710,184,5/26/2024,Mystery
382,135,535,4,30.37,121.48,1710,27,5/26/2024,Science Fiction
383,135,1467,2,44.19,88.38,1710,647,5/26/2024,Non-Fiction
384,135,982,2,14.77,29.54,1710,141,5/26/2024,Fantasy
385,136,794,5,34.92,174.6,576,112,9/26/2023,Non-Fiction
386,136,1005,4,36.99,147.96,576,75,9/26/2023,Science Fiction
387,136,1067,1,31.86,31.86,576,152,9/26/2023,Mystery
388,137,340,2,21.77,43.54,1532,558,10/10/2023,Romance
389,137,95,5,17.97,89.85,1532,567,10/10/2023,Non-Fiction
390,137,424,1,21.48,21.48,1532,606,10/10/2023,Fiction
391,138,503,1,41.16,41.16,739,280,9/20/2023,Fiction
392,138,581,3,39.21,117.63,739,572,9/20/2023,Science Fiction
393,138,1074,2,16.44,32.88,739,340,9/20/2023,Romance
394,138,381,1,32.99,32.99,739,575,9/20/2023,Mystery
395,139,1481,2,19.6,39.2,881,671,9/29/2022,Fantasy
396,139,1601,1,20.78,20.78,881,152,9/29/2022,Non-Fiction
397,139,2012,1,45.8,45.8,881,726,9/29/2022,Romance
398,139,1695,1,27.89,27.89,881,13,9/29/2022,Fantasy
399,140,313,2,19.58,39.16,580,662,5/6/2023,Fiction
400,140,1720,4,16.23,64.92,580,185,5/6/2023,Mystery
401,140,1285,4,12.76,51.04,580,765,5/6/2023,Romance
402,140,660,2,41.57,83.14,580,523,5/6/2023,Fantasy
403,141,42,2,47.94,95.88,1849,166,10/2/2023,Mystery
404,141,129,1,36.67,36.67,1849,335,10/2/2023,Fantasy
405,141,1405,3,7.58,22.74,1849,174,10/2/2023,Romance
406,142,21,2,13.18,26.36,1796,747,9/19/2023,Non-Fiction
407,142,2138,3,29.72,89.16,1796,568,9/19/2023,Romance
408,142,499,2,47.06,94.12,1796,43,9/19/2023,Science Fiction
409,142,122,5,45.57,227.85,1796,119,9/19/2023,Fantasy
410,143,2122,5,16.15,80.75,540,502,6/18/2024,Fantasy
411,144,886,3,30.77,92.31,1256,71,4/25/2023,Mystery
412,144,471,2,28.08,56.16,1256,55,4/25/2023,Fantasy
413,145,1342,2,29.94,59.88,1699,270,4/13/2024,Mystery
